X,Y,record_id,street_num,street_dir,street_name,date_status,address_id,parcel_id,lon,lat,ObjectId
-83.202699,42.403057,VPO2023-01496,15372,,PREVOST,2023/10/03 04:00:00+00,145690,22054981.,-83.202699,42.403057,914
-83.002234,42.356797,VPO2023-01497,1792,,BALDWIN,2023/09/20 04:00:00+00,330659,17011113.,-83.002234,42.356797,915
-82.93878,42.411195,VPO2023-01498,5911,,YORKSHIRE,2023/09/20 04:00:00+00,306599,21073338.,-82.93878,42.411195,916
-83.121177,42.382317,VPO2023-01499,3037,,ELMHURST LOWER UNIT,2023/09/20 04:00:00+00,51354,12003595.,-83.121177,42.382317,917
-83.176309,42.368562,VPO2023-01502,9910,,HARTWELL,2023/09/30 04:00:00+00,207232,22028475.,-83.176309,42.368562,918
-83.024066,42.36356,VPO2023-01503,3720,,GRATIOT,2023/09/20 04:00:00+00,463454,13001777.,-83.024066,42.36356,919
-83.157877,42.429162,VPO2023-01504,18691,,WISCONSIN,2023/09/20 04:00:00+00,16822,16035037.,-83.157877,42.429162,920
-83.126425,42.293626,VPO2023-01505,9117,,SIRE,2023/09/30 04:00:00+00,3686,20001378.,-83.126425,42.293626,921
-83.166381,42.42351,VPO2023-01506,18087,,MENDOTA,2023/10/03 04:00:00+00,18921,16043304.,-83.166381,42.42351,922
-83.128116,42.409913,VPO2023-01507,2601,,PURITAN,2023/09/30 04:00:00+00,30402,12005391-3,-83.128116,42.409913,923
-83.161446,42.412775,VPO2023-01508,16541,,WASHBURN,2023/09/30 04:00:00+00,98195,16039699.,-83.161446,42.412775,924
-83.246438,42.390428,VPO2023-01509,14236,,BURT,2023/09/30 04:00:00+00,143757,22107599-600,-83.246438,42.390428,925
-83.134074,42.412038,VPO2023-01510,16239,,MUIRLAND,2023/09/30 04:00:00+00,28854,12011831.,-83.134074,42.412038,926
-83.022133,42.370028,VPO2023-01511,4702,,BELLEVUE,2023/09/21 04:00:00+00,489641,15013198.,-83.022133,42.370028,927
-83.212782,42.398771,VPO2023-01513,17300,,GRAND RIVER,2023/09/30 04:00:00+00,381609,22008194-7,-83.212782,42.398771,928
-83.025213,42.438434,VPO2023-01514,19476,,STOTTER,2023/09/30 04:00:00+00,264912,15005698.,-83.025213,42.438434,929
-82.991135,42.415152,VPO2023-01515,12219,,GRATIOT,2023/09/30 04:00:00+00,247330,21028933.,-82.991135,42.415152,930
-83.239418,42.416388,VPO2023-01516,17187,,VAUGHAN,2023/09/25 04:00:00+00,112209,22098193.002L,-83.239418,42.416388,931
-83.25395,42.41986,VPO2023-01517,21440,,BENNETT,2023/09/30 04:00:00+00,87129,22014510.,-83.25395,42.41986,932
-83.262461,42.372686,VPO2023-01521,11669,,CHATHAM,2023/09/22 04:00:00+00,172214,22117264.,-83.262461,42.372686,933
-83.131016,42.310158,VPO2023-01522,8438,W,VERNOR,2023/09/29 04:00:00+00,421968,20004294.,-83.131016,42.310158,934
-83.204637,42.419142,VPO2023-01524,7275,,OUTER,2023/10/01 04:00:00+00,63469,22125180.,-83.204637,42.419142,935
-83.129836,42.411269,VPO2023-01526,16174,,LAWTON,2023/10/27 04:00:00+00,543616,12006196.,-83.129836,42.411269,936
